item_id,system,dataset_name,source_organization,dataset_type,format,storage_location,coverage_area,update_frequency,status,quality_status,live_feed,version_tracked,drives_factor,constraint_type,risk_level,notes
NG-INV-001,Namami Gange,cpcb_water_quality_ganga.csv,CPCB,Water Quality,CSV,data_raw/,Ganga basin monitoring stations,Unknown - static,PRESENT,UNKNOWN,NO,NO,water_quality + extreme_pollution,HARD if WQI<20,HIGH,Static CSV - no live updates
NG-INV-002,Namami Gange,cwc_river_stations_ganga.csv,CWC,River Hydrology,CSV,data_raw/,Ganga river stations,Unknown - static,PRESENT,UNKNOWN,NO,NO,river_stability + critical_depth,HARD if depth<20,HIGH,Static CSV - no live updates
NG-INV-003,Namami Gange,iwai_terminals_nw1.csv,IWAI,Terminal Infrastructure,CSV,data_raw/,National Waterway 1,Unknown - static,PRESENT,UNKNOWN,NO,NO,terminal_proximity + logistics_access + traffic_potential,SOFT if logistics<30,MEDIUM,Static CSV
NG-INV-004,Namami Gange,logistics_parks_ganga_belt.csv,IWAI/Logistics,Logistics Infrastructure,CSV,data_raw/,Ganga belt,Unknown - static,PRESENT,UNKNOWN,NO,NO,logistics_access + hub_spoke_model,SOFT,MEDIUM,Static CSV
NG-INV-005,Namami Gange,urban_centers_ganga_basin.csv,Census/Urban,Urban Demographics,CSV,data_raw/,Ganga basin urban areas,Unknown - static,PRESENT,UNKNOWN,NO,NO,urban_proximity + traffic_potential,NONE,LOW,Stable data - low change risk
NG-INV-006,Namami Gange,Environmental overlay - wetland,Environmental sources,Environmental,UNKNOWN,UNKNOWN,Protected wetlands,Unknown,PARTIAL,UNKNOWN,NO,NO,wetland_zone,HARD - always REJECT,CRITICAL,Source unclear - used as constraint
NG-INV-007,Namami Gange,Environmental overlay - flood zone,Environmental sources,Environmental,UNKNOWN,UNKNOWN,Active flood zones,Unknown,PARTIAL,UNKNOWN,NO,NO,flood_zone,HARD - always REJECT,CRITICAL,Source unclear
NG-INV-008,Namami Gange,Environmental clearance data,MoEF/SEIAA,Regulatory,UNKNOWN,UNKNOWN,All locations,Unknown,PARTIAL,UNKNOWN,NO,NO,no_env_clearance,HARD - always REJECT,HIGH,Source unclear
NG-INV-009,Namami Gange,Real-time CPCB API,CPCB,Water Quality (live),API,NOT INTEGRATED,Ganga basin,Real-time,MISSING,N/A,NO,N/A,water_quality,N/A,HIGH,Not integrated - system uses static CSV only
NG-INV-010,Namami Gange,Real-time CWC flood data,CWC,River Hydrology (live),API,NOT INTEGRATED,Ganga basin,Real-time,MISSING,N/A,NO,N/A,flood_zone,N/A,HIGH,Not integrated - system uses static CSV only
NG-INV-011,Namami Gange,Redis deduplication store,Internal,Infrastructure,Redis,ng-redis-dedup container,N/A,Real-time,LIVE - NO PERSISTENCE,DEGRADED,YES,NO,deduplication,N/A,CRITICAL,Data lost on container restart - no volume mounts
NG-INV-012,Namami Gange,Postgres events database,Internal,Infrastructure,PostgreSQL,ng-postgres-events container,N/A,Real-time,LIVE - CONN ISSUES,PARTIAL,YES,NO,event storage,N/A,HIGH,ng_user connection string issues
NG-INV-013,Namami Gange,ng-core persistence service,Internal,Infrastructure,Service,ng-core container,N/A,Real-time,RESTARTING,BROKEN,YES,NO,replay + persistence,N/A,CRITICAL,PersistenceStore class missing - service in restart loop
